what,kind,bundleId,bundleVersion,description,time
stopped,bundle,com.springsource.sts.ide.ui,2.9.1.201203221000-RELEASE,"com.springsource.sts.ide.ui",1451337326008
stopped,bundle,com.springsource.sts.config.core,2.9.1.201203221000-RELEASE,"com.springsource.sts.config.core",1451337326008
stopped,bundle,org.springframework.ide.eclipse.batch,2.9.1.201203220057-RELEASE,"org.springframework.ide.eclipse.batch",1451337326008
stopped,bundle,org.springframework.ide.eclipse.ajdt.ui.visualiser,2.9.1.201203220057-RELEASE,"org.springframework.ide.eclipse.ajdt.ui.visualiser",1451337326008
stopped,bundle,org.springframework.ide.eclipse.ajdt.ui.xref,2.9.1.201203220057-RELEASE,"org.springframework.ide.eclipse.ajdt.ui.xref",1451337326008
stopped,bundle,org.springframework.ide.eclipse.aop.mylyn,2.9.1.201203220057-RELEASE,"org.springframework.ide.eclipse.aop.mylyn",1451337326008
stopped,bundle,org.springframework.ide.eclipse.aop.ui.matcher,2.9.1.201203220057-RELEASE,"org.springframework.ide.eclipse.aop.ui.matcher",1451337326008
stopped,bundle,org.springframework.ide.eclipse.aop.ui,2.9.1.201203220057-RELEASE,"org.springframework.ide.eclipse.aop.ui",1451337326008
stopped,bundle,org.springframework.ide.eclipse.security,2.9.1.201203220057-RELEASE,"org.springframework.ide.eclipse.security",1451337326008
stopped,bundle,org.springframework.ide.eclipse.aop.core,2.9.1.201203220057-RELEASE,"org.springframework.ide.eclipse.aop.core",1451337326008
stopped,bundle,org.springframework.ide.eclipse.beans.ui.autowire,2.9.1.201203220057-RELEASE,"org.springframework.ide.eclipse.beans.ui.autowire",1451337326008
stopped,bundle,org.springframework.ide.eclipse.beans.core.autowire,2.9.1.201203220057-RELEASE,"org.springframework.ide.eclipse.beans.core.autowire",1451337326008
stopped,bundle,org.springframework.ide.eclipse.beans.mylyn,2.9.1.201203220057-RELEASE,"org.springframework.ide.eclipse.beans.mylyn",1451337326008
stopped,bundle,org.springframework.ide.eclipse.beans.ui.refactoring,2.9.1.201203220057-RELEASE,"org.springframework.ide.eclipse.beans.ui.refactoring",1451337326008
stopped,bundle,org.springframework.ide.eclipse.integration,2.9.1.201203220057-RELEASE,"org.springframework.ide.eclipse.integration",1451337326008
stopped,bundle,org.springframework.ide.eclipse.mylyn,2.9.1.201203220057-RELEASE,"org.springframework.ide.eclipse.mylyn",1451337326008
stopped,bundle,org.springframework.ide.eclipse.osgi,2.9.1.201203220057-RELEASE,"org.springframework.ide.eclipse.osgi",1451337326008
stopped,bundle,org.springframework.ide.eclipse.webflow.mylyn,2.9.1.201203220057-RELEASE,"org.springframework.ide.eclipse.webflow.mylyn",1451337326008
stopped,bundle,org.springframework.ide.eclipse.webflow.ui,2.9.1.201203220057-RELEASE,"org.springframework.ide.eclipse.webflow.ui",1451337326008
stopped,bundle,org.springframework.ide.eclipse.webflow.ui.graph,2.9.1.201203220057-RELEASE,"org.springframework.ide.eclipse.webflow.ui.graph",1451337326008
stopped,bundle,org.springframework.ide.eclipse.webflow.ui.editor,2.9.1.201203220057-RELEASE,"org.springframework.ide.eclipse.webflow.ui.editor",1451337326008
stopped,bundle,org.springframework.ide.eclipse.webflow.core,2.9.1.201203220057-RELEASE,"org.springframework.ide.eclipse.webflow.core",1451337326008
stopped,bundle,org.springframework.ide.eclipse.beans.ui.editor,2.9.1.201203220057-RELEASE,"org.springframework.ide.eclipse.beans.ui.editor",1451337326008
stopped,bundle,org.springframework.ide.eclipse.beans.ui.graph,2.9.1.201203220057-RELEASE,"org.springframework.ide.eclipse.beans.ui.graph",1451337326008
stopped,bundle,org.springframework.ide.eclipse.beans.ui.search,2.9.1.201203220057-RELEASE,"org.springframework.ide.eclipse.beans.ui.search",1451337326008
stopped,bundle,org.springframework.ide.eclipse.beans.ui,2.9.1.201203220057-RELEASE,"org.springframework.ide.eclipse.beans.ui",1451337326008
stopped,bundle,org.springframework.ide.eclipse.beans.core.metadata,2.9.1.201203220057-RELEASE,"org.springframework.ide.eclipse.beans.core.metadata",1451337326008
